Date and time,Wind speed (m/s),Rotor speed (RPM),Pitch angle (°),Nacelle position (°),Wind direction (°),Nacelle ambient temperature (°C),Power (kW),Yaw error (°)
2019-07-03 14:00:00,15.84421463,15.29100926,13.10512261,253.0003662,243.0979659,6.960000038,2074.137793,-9.90240030000001
2019-07-03 14:10:00,14.30538321,15.15662411,12.50485586,253.0003662,250.2400679,6.892499995,2047.463226,-2.760298299999988
2019-07-03 14:20:00,14.98421392,15.13330874,12.63052185,253.0003662,254.6755125,7.092499924,2037.967932,1.6751462999999944
2019-07-03 14:30:00,14.56622338,15.20011944,11.6005014,253.0003662,252.7440126,7.072499967,2053.938751,-0.2563536000000113
2019-07-03 14:40:00,12.85670991,15.16864099,8.878719364,253.0003662,259.4659118,7.005000019,2050.144238,6.465545600000013
2019-07-03 14:50:00,12.65901928,15.1130539,9.693244209,253.0003662,255.664078,6.815000176,2050.031104,2.6637117999999873
2019-07-03 15:00:00,14.65842338,15.20853098,12.21747805,253.0003662,255.7425217,6.797500181,2065.264575,2.7421554999999955
2019-07-03 15:10:00,13.71232986,15.16266149,10.24470356,253.0003662,258.120779,6.800000191,2044.82226,5.120412800000025
2019-07-03 15:20:00,12.93112707,15.22490542,8.998437145,253.0003662,256.7812104,6.800000191,2058.317993,3.7808442000000184
2019-07-03 15:30:00,13.36970325,15.21027048,10.2278225,253.0003662,258.5008176,6.945000052,2045.924487,5.500451400000003
2019-07-03 15:40:00,12.7240809,15.18658702,8.514993087,253.0003662,258.4590298,6.985000014,2052.748401,5.458663599999994
2019-07-03 15:50:00,12.35413036,15.15930225,8.096873295,253.0003662,263.6653471,6.817500138,2044.791315,10.664980900000018
2019-07-03 16:00:00,12.21079063,15.19048673,7.610030739,253.0003662,261.985298,6.777500105,2039.754236,8.984931799999998
2019-07-03 16:10:00,12.20034003,15.19361812,6.783514446,256.0000426,267.8765879,6.795000172,2055.844531,11.876545300000032
2019-07-03 16:20:00,12.55568204,15.12546591,7.967602359,260.5357012,261.7039109,6.795000172,2043.390234,1.1682096999999771
2019-07-03 16:30:00,12.14955301,15.14934701,6.766021674,260.5834449,263.2848516,6.757500029,2050.954669,2.701406700000007
