,Unnamed: 0,Wind speed (m/s),Power (kW),Blade angle (pitch position) A (°),Rotor speed (RPM)
935,10543,7.869170451,1271.369363,0.0,14.9369992
936,10580,7.820443821,1215.705821,0.0,14.38116503
937,10581,7.736873577,1193.330997,0.095000002,14.21642415
938,10613,2.792642099,16.44731858,1.39000001,8.139131337
939,10614,2.808550107,23.24927055,1.316500008,8.149373665
940,10615,2.930097425,32.63637481,1.092000008,8.143429667
941,10616,2.811278939,18.44013806,1.36500001,8.139360622
942,10617,2.136327824,7.724819859,1.44000001,8.13478978
943,10680,8.032297564,1326.490302,0.0,15.11913492
944,10681,8.274631238,1293.031909,0.0,15.09821405
945,10682,7.808016827,1252.328604,0.0,14.94813377
946,10689,7.952144766,1301.994171,0.0,15.08842537
947,10706,7.827274704,1225.168011,0.0,14.81448264
948,10718,8.073153758,1266.468311,0.083000002,14.84569059
949,10719,8.010171032,1171.156305,0.1875,14.39337449
950,10720,8.475310278,1330.173297,0.680499998,14.38665748
951,10725,7.809900308,1220.973389,0.640500006,14.17610572
952,10726,9.003524852,1625.918909,1.588500009,15.07666858
953,10727,10.03166463,1850.21377,2.918000035,15.0868464
954,10728,10.39769845,1927.44057,4.387500004,15.12549131
955,10729,10.45132561,1983.368237,4.00600003,15.1513157
956,10730,9.501593685,1836.997076,2.304000017,15.13164939
957,10731,9.011822152,1576.15997,0.520499991,15.09048928
958,10732,7.396216488,1155.120935,0.323500006,14.22638798
959,10734,9.828962111,1692.357202,1.436999996,14.98565488
960,10735,8.58354826,1422.391895,0.486000012,14.73659992
961,10736,8.730544627,1562.394818,0.370499994,14.99077991
962,10737,9.030366087,1520.980344,0.422000004,15.03077106
963,10738,9.326326561,1713.209293,1.128500009,15.0883588
964,10739,7.387027919,1248.813681,0.085999997,14.52764404
965,10740,8.160704136,1232.107149,0.302000001,14.45168477
966,10741,8.432319546,1479.620285,0.718421056,14.80473815
967,10744,9.363581467,1772.437211,1.859500007,15.10090578
968,10745,9.660247445,1815.235812,2.059000009,14.92822878
969,10746,8.326680279,1446.720471,0.560999995,14.58345249
970,10808,7.203741932,824.3488312,0.0,13.49850681
971,10810,7.38545022,959.3808197,0.0,14.18297499
972,10812,6.956415176,855.2868317,0.0,13.64499512
973,10813,7.570295525,1042.880441,0.0,14.53632492
974,10838,6.556474385,728.4671085,0.0,12.84823824
975,10839,7.518264794,913.9915466,0.0,13.88815914
976,10894,6.060087681,486.3633064,0.0,11.41513994
977,10957,6.74701159,743.7735321,0.0,13.04078279
978,10958,6.943551373,718.7107819,0.0,12.87755558
979,10959,6.907892823,745.1852448,0.0,13.01960313
980,10960,6.383632016,641.7933823,0.0,12.4421757
981,10961,6.562314653,634.3457932,0.0,12.40507878
982,10979,5.041637659,497.6440226,0.0,11.43224493
983,10980,5.898074269,799.1148132,0.0,13.32674477
984,10981,6.956081009,939.7291809,0.0,14.04050866
985,10982,5.857385159,625.282663,0.0,12.29322173
986,10983,5.015817142,528.8523499,0.0,11.72863971
987,11011,5.551809359,435.4002464,0.0,10.99479787
988,11012,6.109872341,572.8838028,0.0,11.98184592
989,11013,5.594558764,482.4087982,0.0,11.35756212
990,11019,5.389999938,436.9410484,0.0,11.02012382
991,11071,6.372327495,594.9341782,0.0,12.20396183
992,11072,6.75723958,803.4044312,0.0,13.37967101
993,11073,6.431343581,598.5771606,0.0,12.17091896
994,11074,7.110242462,1112.778101,0.0,14.3151868
995,11075,9.201531029,1737.80975,0.908499998,15.1870721
996,11076,9.884296942,1852.211316,2.138499993,15.16634153
997,11077,10.12637029,1893.789044,3.335000016,15.14642148
998,11078,10.60056801,1972.010376,4.048499979,15.09746432
999,11079,9.836424065,1934.605396,1.546500009,15.19066027
1000,11080,9.580744338,1722.022696,1.034999997,15.12023699
1001,11081,9.102759862,1737.412512,1.124500012,15.14995573
1002,11082,9.474418283,1776.951062,2.402999985,15.10332392
1003,11083,11.33053837,2046.52262,6.011000025,15.14789084
1004,11084,10.52926943,1987.00957,3.779999951,15.15176748
1005,11085,9.407388997,1913.822168,1.253000005,15.14461103
1006,11086,9.404344964,1888.724698,1.080000009,15.10168393
1007,11087,7.52030673,1033.920787,0.0,13.85514097
1008,11088,8.259019971,1231.200671,0.0,14.78344135
1009,11089,9.061254096,1506.748895,0.298999995,15.12004982
1010,11090,10.0575964,1934.12951,2.37349999,15.16084483
1011,11091,8.746471334,1537.89657,0.382499996,15.0218524
1012,11092,10.04205952,1863.49447,2.029000013,15.16182956
1013,11093,9.858383703,1844.750369,2.82500003,15.09531042
1014,11094,10.35965714,1957.760767,3.548500016,15.14088732
1015,11095,9.946276999,1935.795215,3.216500005,15.18023461
1016,11096,9.765441108,1872.641901,2.826315817,15.09959207
1017,11097,8.794154418,1509.118669,0.347368429,14.95700795
1018,11098,8.363842392,1308.682547,0.0245,14.85793081
1019,11099,8.214822721,1250.705066,0.049000001,14.64448585
1020,11100,8.0238518,1085.231256,0.019499999,14.35713306
1021,11101,7.459774566,1049.658423,0.0,14.32822792
1022,11102,7.183805704,829.3181549,0.0,13.47606303
1023,11103,7.879454017,1226.366882,0.0,14.78213364
1024,11104,7.553737783,1010.438919,0.0,14.14757082
1025,11105,7.474921489,1097.544138,0.0025,14.38508061
1026,11106,7.096190763,890.2796936,0.0,13.79740758
1027,11107,7.256867743,933.2579437,0.0,13.93978938
1028,11108,7.749145269,1086.164935,0.013,14.45511729
1029,11109,7.632999754,928.7778656,0.0,13.85689545
1030,11110,7.554220605,1064.203088,0.0,14.36836763
1031,11111,7.305872774,910.3725739,0.0,13.87319067
1032,11112,7.223139668,899.0600403,0.0,13.69151621
1033,11113,6.657558846,765.0108353,0.0,13.13201214
1034,11114,6.81352098,815.0402527,0.0,13.35862349
1035,11115,6.637084389,793.9470001,0.0,13.31786871
1036,11116,6.797223091,711.8569946,0.0,12.82524137
1037,11117,7.297761059,1069.290843,0.048500001,14.14342506
1038,11120,6.982179809,796.6829575,0.0,13.18122791
1039,11121,6.808103637,722.8429932,0.0,12.86197159
1040,11122,6.652379942,634.7507294,0.0,12.24456355
1041,11123,6.561627817,642.6427795,0.0,12.33424674
1042,11124,6.130718064,607.7224792,0.0,12.22301124
1043,11125,6.233684158,608.134346,0.0,12.22853664
1044,11126,6.011676741,593.9524933,0.0,12.03949441
1045,11127,6.890740967,810.7309326,0.0,13.26807113
1046,11128,6.943662584,783.0629166,0.0,13.30089847
1047,11129,6.174395561,655.4907715,0.0,12.42524689
1048,11151,6.140834475,527.8903549,0.0,11.65694247
1049,11152,6.233554173,536.0342453,0.0,11.76409104
1050,11346,8.55123086,1367.710059,0.388000003,14.9075139
1051,11347,9.15273006,1609.268384,1.01900001,15.1652336
1052,11348,10.49197743,1930.38728,3.043499993,15.16072708
1053,11349,10.04668167,1905.736951,2.642500013,15.11490105
1054,11350,11.7175478,2046.749359,6.936500015,15.21961744
1055,11351,10.85420592,1958.399426,5.769499931,15.14915796
1056,11352,11.45845945,2046.18808,6.898999977,15.13651831
1057,11353,10.44604765,1994.644489,3.999000037,15.14756709
1058,11354,7.536140633,1173.232797,0.100500002,14.5116334
1059,11355,6.329522407,827.237886,0.041,13.10983206
