,Unnamed: 0,Wind speed (m/s),Power (kW),Blade angle (pitch position) A (°),Rotor speed (RPM)
324,3162,2.068353796,0.359276026,10.11500034,6.720436242
325,3169,5.639373273,237.7300224,0.0,9.245844539
326,3337,2.635603416,4.225624114,1.920999992,8.136623695
327,3348,3.400667751,8.752558637,19.24700004,5.816697182
328,3362,8.199193168,944.2295334,0.0,13.83995658
329,3394,2.563450956,15.66335475,1.34000001,8.148139089
330,3397,3.682064354,101.6083285,0.793000007,8.516274691
331,3413,3.332322359,53.45813923,19.52049955,6.424272247
332,3550,10.12559066,1942.39552,0.713000001,15.14967602
333,3568,9.37510891,1789.158307,0.714499998,15.16956881
334,3569,9.788588643,1977.540448,0.886999983,15.1531916
335,3594,9.448961258,1896.596622,0.28736842,15.16531584
336,3606,9.60324192,1926.79126,0.388500005,15.16071206
337,3607,10.00615973,1961.67475,0.717500004,15.15987897
338,3608,10.04950316,1981.132184,0.569000002,15.14041087
339,3612,10.17632213,1957.187225,1.515789471,15.168165
340,3613,9.982195377,2029.680112,1.841,15.16802841
341,3614,9.801359606,2028.848785,2.140999988,15.1513626
342,3933,10.216083,1865.990881,1.469473666,15.1357592
343,3935,10.2461915,1825.895807,1.493500002,15.15465666
344,3936,9.934434199,1738.168518,1.785499978,15.17171144
345,3937,10.42359314,1952.794666,2.125499993,15.19453852
346,3938,10.3302052,1915.043396,2.402500017,15.15794004
347,3939,9.920809269,1887.506671,1.731999991,15.14048289
348,3941,9.772587585,1712.79151,0.788500009,15.16145718
349,3942,10.09663327,1838.464789,0.816999999,15.15702461
350,3945,9.715712261,1741.411847,1.102500013,15.18121737
351,3946,10.30382793,1843.917523,1.225500008,15.13854226
352,3947,10.48533505,1978.996985,2.523000015,15.15100345
353,3962,11.3749085,2009.751805,5.198947398,15.12878871
354,3963,9.971800447,1583.019617,0.912500013,14.95179409
355,4041,10.00875838,1843.697705,1.317000008,15.12874085
356,4042,10.0241643,1931.891327,1.918947377,15.18777501
357,4043,10.83248777,2060.387,4.066499975,15.2324928
358,4044,11.00838614,2022.017437,4.505000001,15.14184693
359,4045,11.56676478,2060.794116,6.369499981,15.18683812
360,4046,11.76590323,2055.113031,6.940999961,15.15010782
361,4047,11.12252693,2048.952332,5.369500011,15.13375747
362,4048,11.51477113,2057.843152,6.321500003,15.17369941
363,4049,11.37722306,2042.425073,3.984499991,15.19571874
364,4050,10.38435206,2012.810229,2.688499969,15.17436272
365,4051,10.26701841,2019.834192,3.560500053,15.18814825
366,4052,10.26232216,1974.332324,2.113499996,15.15062624
367,4053,10.26258202,1995.550415,1.697499999,15.18577176
368,4068,9.498196936,1427.251331,0.161,15.01243669
369,4078,9.590471196,1563.203137,0.008,15.15928647
370,4081,8.795179367,1147.364432,0.0,14.81017511
371,4105,8.916039705,1434.261401,0.575500003,14.72958474
372,4108,9.916632676,1649.276508,0.784499997,15.09148943
373,4109,8.514477062,1152.648001,0.168499994,14.22972947
374,4110,7.677180391,919.9073615,0.034736843,13.19066937
375,4113,9.163533521,1331.174194,0.055500001,14.75683782
376,4158,2.280799818,14.1502679,1.32700001,8.146306962
377,4159,2.093429905,1.87967343,1.39000001,8.145567566
378,4165,2.315112226,2.018804108,13.2725004,6.243220735
379,4167,3.871228945,63.42307166,12.94650035,5.840106254
380,4191,7.758185172,1077.569174,0.1995,13.7838555
381,4194,10.31440854,1857.941968,1.271999982,15.17192218
382,4196,9.379656792,1663.235861,1.101500002,15.01941092
383,4198,9.990010405,1796.42507,1.895999993,15.11742783
384,4199,10.14008811,1597.885449,1.02650001,14.88085029
385,4200,9.324581814,1667.455054,1.15550001,15.10778359
386,4203,10.48609321,1865.999396,1.6285,15.19490781
387,4204,9.869354033,1767.812695,1.124999998,15.19220509
388,4205,9.216826534,1749.6,0.870499997,15.15011492
389,4208,9.217661762,1741.181348,1.199500009,15.10443091
390,4213,10.17739878,1811.639801,1.107499995,15.12870906
391,4214,9.201493835,1730.954596,1.028000004,15.14419024
392,4218,9.41711576,1829.746875,1.572500021,15.13809751
393,4228,9.904715586,1919.20015,2.166000023,15.07733068
394,4229,9.442509317,1864.650092,1.967000008,15.17971887
395,4230,9.192880821,1717.76192,1.015000001,15.10725018
396,4234,9.808691788,1813.045673,1.560000008,15.15211411
397,4237,9.232567406,1826.613416,0.778500006,15.15465935
398,4239,10.15657151,1737.293072,1.416000012,15.14509088
399,4240,8.706190586,1796.208981,0.958500011,15.13551003
400,4241,10.19597981,1866.564966,2.047999978,15.1764202
401,4248,7.024038315,1034.228629,0.090000001,13.79501246
402,4250,8.132999229,1344.143851,0.565000021,14.55624533
403,4253,7.459830129,1187.001172,0.058499998,14.37006471
