,Wind speed (m/s),Power (kW),Blade angle (pitch position) A (°),Rotor speed (RPM)
1399,8.663738203,1442.430359,0.004,15.14932756
1400,8.60378139,1342.411493,0.0,15.14115608
1401,7.863527417,1117.717053,0.0,14.68295476
1402,7.547723532,1109.929572,0.0,14.62452757
1403,7.543138671,1008.009711,0.292000014,13.42091498
1404,7.530887401,1131.974635,0.373999992,13.78366591
1405,7.881959796,1329.600827,0.322999996,14.43202664
1406,7.552483877,1287.803594,0.470555559,13.81859049
1407,8.215416622,1426.014041,1.152999994,14.15883341
1408,8.077478814,1141.627867,1.182999988,13.32276696
1409,9.139457929,1382.270133,3.532499969,13.70737472
1410,7.775188422,1058.031731,0.161999999,13.76698186
1411,9.174763727,1647.961307,0.854500019,14.86834225
1412,7.941396904,1048.25687,0.0,14.42509465
1413,8.109035015,993.0494537,0.0,14.14612144
1414,8.50217011,1381.8492,1.587000017,14.10629752
1415,8.659524488,1245.873926,0.423999995,14.71534136
1416,7.727464128,1056.83447,0.0,14.09695955
1417,8.534821725,1341.644275,0.014,14.79009064
1418,8.244466996,1095.813876,0.0,13.84824626
1419,8.738508058,1516.946835,0.785500005,14.883884
1420,8.731231451,1493.877399,0.258000004,15.09923288
1421,9.761710117,1755.758569,0.510000002,15.13553314
1422,9.1378618,1556.324084,0.357000005,14.836219
1423,8.966919589,1514.119644,0.063,15.0634371
1424,8.49251771,1372.462259,0.109500003,14.89816082
1425,8.693234062,1392.059448,0.182999998,14.7675
1426,9.050821924,1524.831384,0.626499987,15.01498447
1427,8.449526858,1317.545593,0.420000005,14.73632044
1428,8.639959478,1450.829797,0.422000003,14.96808864
1429,8.863767743,1484.597635,0.275000003,14.9894304
1430,8.700540718,1278.873508,0.174500003,14.69847706
1431,8.938221979,1522.260297,0.289499999,14.79151498
1432,8.45793581,1502.090591,0.400952382,14.97868206
1433,7.157409883,904.0736694,0.0045,13.49061294
1434,8.731918192,1414.10451,0.011,14.88825667
1435,8.51232388,1335.227975,0.0245,14.90211309
1436,8.511525798,1303.625204,0.032000001,14.9739866
1437,9.006383514,1490.558832,0.066999999,15.09283255
1438,8.606417179,1432.464987,0.0005,15.04303904
1439,8.156833458,1337.812967,0.042999998,14.93585998
1440,8.698561335,1333.201102,0.071000001,14.93345368
1441,8.778844213,1655.983551,0.45750001,15.10580376
1442,9.976311183,1889.195831,1.252499986,15.17621747
1443,9.03300209,1514.219958,0.454999983,15.04425716
1444,8.109591985,1108.43035,0.0,14.53156525
1445,8.091493511,1205.818903,0.0,15.05286603
1446,2.818666691,9.792336458,4.240999925,7.843889248
1447,2.883299269,14.47275935,19.66421001,5.806341458
1448,2.26067276,7.055909503,9.974500215,6.848232094
1449,3.393652225,44.14911864,7.247000134,6.997238478
1450,3.550349206,50.60494287,12.65750026,6.185755536
1451,3.228802121,23.3547414,18.56600068,5.443613143
1452,5.054678434,330.4049044,11.13950039,8.196538274
1453,8.310363853,1367.225059,1.87949999,13.21437728
1454,3.407904458,27.75339366,16.39950059,4.910297401
1455,2.980661929,32.43438878,8.686500216,6.398507377
1456,2.63485164,5.661382082,15.81000036,5.588363539
1457,3.75859037,71.63957138,16.1925005,5.544615369
1458,3.761151099,62.18308489,5.792500043,7.589097597
1459,3.366698366,64.33796405,6.140000153,7.534541521
1460,2.415418433,11.19583694,12.99055594,6.263425481
1461,4.020743239,79.7652614,18.02050055,5.788967025
1462,3.14526173,58.55629387,16.07700051,5.328844976
1463,2.377509439,36.99926601,10.15150036,6.650883203
1464,2.552913696,9.404987711,4.004500079,7.804346066
1465,3.731101799,61.81553019,10.48500024,6.48383414
1466,3.845210516,25.25252709,17.39300048,5.667711438
1467,2.982648557,26.60172717,5.751500186,7.462272512
1468,2.99131968,15.78663394,11.52200032,6.19148921
1469,3.451042616,61.04073634,8.265000044,6.926777942
1470,2.809013623,11.34872195,7.56350013,7.227454306
1471,2.794597113,24.50415732,4.736000013,7.551576158
1472,3.171168792,27.01106101,10.3585002,5.804857509
1473,3.550249219,62.12442768,11.95300039,6.174303588
1474,2.091476595,0.821737397,5.418000114,5.087379584
1475,2.921240908,11.26603948,6.369500065,7.292412009
1476,4.172916138,101.8390477,11.71100038,6.459176375
1477,2.845274772,27.81331896,11.59500033,6.55386719
1478,3.561733019,1.871194488,18.83450053,5.412661554
1479,3.943371445,47.30621113,18.78500066,5.594660623
1480,3.574126828,34.17212772,19.87900066,5.23098781
1481,4.249579638,105.1809455,4.050999987,7.766946701
1482,3.76438016,42.84325287,19.58800044,5.502605192
1483,3.320946373,39.26891934,5.636842138,7.26900866
1484,3.093054247,68.00984052,14.33700051,6.201605142
1485,2.669933781,4.331671336,18.86500068,5.274260692
1486,2.67745139,4.25660311,5.128000093,7.440370962
1487,3.931430399,96.29924861,6.13600018,7.068481453
1488,3.360922274,9.058895263,14.30000036,6.194335107
1489,3.323500299,46.1686847,16.40450051,5.258369476
1490,2.567690545,11.38504218,18.45250068,5.234829539
1491,3.324876797,44.91378091,18.41750067,5.29614144
1492,3.408057708,42.08072073,16.75150041,5.486638491
1493,3.644533405,57.01273986,18.81800064,5.140642544
1494,2.476627959,26.56655341,11.96600043,6.233002553
1495,2.603343695,8.661398053,16.56500059,5.658749836
1496,2.690309542,20.59168228,11.44700036,6.649388951
1497,3.189078808,14.25107456,17.70300051,5.46191462
1498,3.296640491,20.86663162,16.02800048,5.463902643
1499,3.090214193,30.41557466,3.997499943,7.292727526
1500,3.329265082,15.82774579,16.00850038,5.628331186
1501,2.690812564,7.923559648,9.746000227,6.864312331
1502,2.777563399,19.95982337,5.565000176,7.50321104
1503,2.939603931,11.45916291,13.59950022,6.035122236
1504,3.241269231,3.890590605,17.29000045,5.323221068
1505,4.610447955,129.6317208,5.933000112,7.707680482
1506,2.691556889,6.190042931,14.49000051,6.072710641
1507,3.014242709,11.15657101,8.541000271,6.876743216
1508,3.26183188,15.94518525,19.17150066,5.139870892
1509,7.719018364,1159.971805,0.0,14.60629521
1510,8.509910858,1470.644656,0.245500004,14.77429703
1511,8.633685517,1442.804352,0.415999997,14.9077722
